product_id,sku,version,effective_date,list_price,currency,billing_interval
prod_starter_mo,SKU-STAR-MO,v2,2024-07-01,73.60,USD,monthly
prod_starter_yr,SKU-STAR-YR,v2,2024-07-01,736.00,USD,annual
prod_growth_mo,SKU-GROW-MO,v2,2024-07-01,128.80,USD,monthly
prod_growth_yr,SKU-GROW-YR,v2,2024-07-01,1288.00,USD,annual
prod_professional_mo,SKU-PROF-MO,v2,2024-07-01,233.45,USD,monthly
prod_professional_yr,SKU-PROF-YR,v2,2024-07-01,2334.50,USD,annual
prod_business_mo,SKU-BUSI-MO,v2,2024-07-01,462.30,USD,monthly
prod_business_yr,SKU-BUSI-YR,v2,2024-07-01,4623.00,USD,annual
addon_prod_starter_mo,addon_prod_starter_mo,v2,2024-07-01,73.60,USD,monthly
addon_prod_business_mo,addon_prod_business_mo,v1,2023-01-01,462.30,USD,monthly
