invoice_id,customer_id,subscription_id,invoice_number,invoice_date,period_start,period_end,subtotal,discount,total,currency,credit_amount
inv_0000001,cust_00001,sub_00001,INV-0000001,2023-01-01,2023-01-01,2024-01-01,5428.00,0.00,5428.00,GBP,0.00
inv_0000002,cust_00001,sub_00001,INV-0000002,2024-01-01,2024-01-01,2025-01-01,5428.00,0.00,5428.00,GBP,0.00
inv_0000003,cust_00001,sub_00001,INV-0000003,2025-01-01,2025-01-01,2026-01-01,5428.00,0.00,5428.00,GBP,0.00
inv_0000004,cust_00002,sub_00002,INV-0000004,2023-01-06,2023-01-06,2023-02-06,460.00,0.00,460.00,GBP,0.00
inv_0000005,cust_00002,sub_00002,INV-0000005,2023-02-06,2023-02-06,2023-03-06,460.00,0.00,460.00,GBP,0.00
inv_0000006,cust_00002,sub_00002,INV-0000006,2023-03-06,2023-03-06,2023-04-06,460.00,0.00,460.00,GBP,0.00
inv_0000007,cust_00002,sub_00002,INV-0000007,2023-04-06,2023-04-06,2023-05-06,460.00,0.00,460.00,GBP,0.00
inv_0000008,cust_00002,sub_00002,INV-0000008,2023-05-06,2023-05-06,2023-06-06,460.00,0.00,460.00,GBP,0.00
inv_0000009,cust_00002,sub_00002,INV-0000009,2023-06-06,2023-06-06,2023-07-06,460.00,0.00,460.00,GBP,0.00
inv_0000010,cust_00002,sub_00002,INV-0000010,2023-07-06,2023-07-06,2023-08-06,460.00,0.00,460.00,GBP,0.00
inv_0000011,cust_00002,sub_00002,INV-0000011,2023-08-06,2023-08-06,2023-09-06,460.00,0.00,460.00,GBP,0.00
inv_0000012,cust_00002,sub_00002,INV-0000012,2023-09-06,2023-09-06,2023-10-06,460.00,0.00,460.00,GBP,0.00
inv_0000013,cust_00002,sub_00002,INV-0000013,2023-10-06,2023-10-06,2023-11-06,460.00,0.00,460.00,GBP,0.00
inv_0000014,cust_00002,sub_00002,INV-0000014,2023-11-06,2023-11-06,2023-12-06,460.00,0.00,460.00,GBP,0.00
inv_0000015,cust_00002,sub_00002,INV-0000015,2023-12-06,2023-12-06,2024-01-06,460.00,0.00,460.00,GBP,0.00
inv_0000016,cust_00002,sub_00002,INV-0000016,2024-01-06,2024-01-06,2024-02-06,460.00,0.00,460.00,GBP,0.00
inv_0000017,cust_00002,sub_00002,INV-0000017,2024-02-06,2024-02-06,2024-03-06,460.00,0.00,460.00,GBP,0.00
inv_0000018,cust_00002,sub_00002,INV-0000018,2024-03-06,2024-03-06,2024-04-06,460.00,0.00,460.00,GBP,0.00
inv_0000019,cust_00002,sub_00002,INV-0000019,2024-04-06,2024-04-06,2024-05-06,460.00,0.00,460.00,GBP,0.00
inv_0000020,cust_00002,sub_00002,INV-0000020,2024-05-06,2024-05-06,2024-06-06,460.00,0.00,460.00,GBP,0.00
inv_0000021,cust_00002,sub_00002,INV-0000021,2024-06-06,2024-06-06,2024-07-06,460.00,0.00,460.00,GBP,0.00
inv_0000022,cust_00002,sub_00002,INV-0000022,2024-07-06,2024-07-06,2024-08-06,460.00,0.00,460.00,GBP,0.00
inv_0000023,cust_00002,sub_00002,INV-0000023,2024-08-06,2024-08-06,2024-09-06,460.00,0.00,460.00,GBP,0.00
inv_0000024,cust_00002,sub_00002,INV-0000024,2024-09-06,2024-09-06,2024-10-06,460.00,0.00,460.00,GBP,0.00
inv_0000025,cust_00002,sub_00002,INV-0000025,2024-10-06,2024-10-06,2024-11-06,460.00,0.00,460.00,GBP,0.00
inv_0000026,cust_00002,sub_00002,INV-0000026,2024-11-06,2024-11-06,2024-12-06,460.00,0.00,460.00,GBP,0.00
inv_0000027,cust_00002,sub_00002,INV-0000027,2024-12-06,2024-12-06,2025-01-06,460.00,0.00,460.00,GBP,0.00
inv_0000028,cust_00002,sub_00002,INV-0000028,2025-01-06,2025-01-06,2025-02-06,460.00,0.00,460.00,GBP,0.00
inv_0000029,cust_00002,sub_00002,INV-0000029,2025-02-06,2025-02-06,2025-03-06,460.00,0.00,460.00,GBP,0.00
inv_0000030,cust_00002,sub_00002,INV-0000030,2025-03-06,2025-03-06,2025-04-06,460.00,0.00,460.00,GBP,0.00
inv_0000031,cust_00002,sub_00002,INV-0000031,2025-04-06,2025-04-06,2025-05-06,460.00,0.00,460.00,GBP,0.00
inv_0000032,cust_00002,sub_00002,INV-0000032,2025-05-06,2025-05-06,2025-06-06,460.00,0.00,460.00,GBP,0.00
inv_0000033,cust_00003,sub_00003,INV-0000033,2023-01-12,2023-01-12,2023-02-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000034,cust_00003,sub_00003,INV-0000034,2023-02-12,2023-02-12,2023-03-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000035,cust_00003,sub_00003,INV-0000035,2023-03-12,2023-03-12,2023-04-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000036,cust_00003,sub_00003,INV-0000036,2023-04-12,2023-04-12,2023-05-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000037,cust_00003,sub_00003,INV-0000037,2023-05-12,2023-05-12,2023-06-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000038,cust_00003,sub_00003,INV-0000038,2023-06-12,2023-06-12,2023-07-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000039,cust_00003,sub_00003,INV-0000039,2023-07-12,2023-07-12,2023-08-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000040,cust_00003,sub_00003,INV-0000040,2023-08-12,2023-08-12,2023-09-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000041,cust_00003,sub_00003,INV-0000041,2023-09-12,2023-09-12,2023-10-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000042,cust_00003,sub_00003,INV-0000042,2023-10-12,2023-10-12,2023-11-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000043,cust_00003,sub_00003,INV-0000043,2023-11-12,2023-11-12,2023-12-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000044,cust_00003,sub_00003,INV-0000044,2023-12-12,2023-12-12,2024-01-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000045,cust_00003,sub_00003,INV-0000045,2024-01-12,2024-01-12,2024-02-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000046,cust_00003,sub_00003,INV-0000046,2024-02-12,2024-02-12,2024-03-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000047,cust_00003,sub_00003,INV-0000047,2024-03-12,2024-03-12,2024-04-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000048,cust_00003,sub_00003,INV-0000048,2024-04-12,2024-04-12,2024-05-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000049,cust_00003,sub_00003,INV-0000049,2024-05-12,2024-05-12,2024-06-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000050,cust_00003,sub_00003,INV-0000050,2024-06-12,2024-06-12,2024-07-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000051,cust_00003,sub_00003,INV-0000051,2024-07-12,2024-07-12,2024-08-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000052,cust_00003,sub_00003,INV-0000052,2024-08-12,2024-08-12,2024-09-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000053,cust_00003,sub_00003,INV-0000053,2024-09-12,2024-09-12,2024-10-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000054,cust_00003,sub_00003,INV-0000054,2024-10-12,2024-10-12,2024-11-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000055,cust_00003,sub_00003,INV-0000055,2024-11-12,2024-11-12,2024-12-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000056,cust_00003,sub_00003,INV-0000056,2024-12-12,2024-12-12,2025-01-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000057,cust_00003,sub_00003,INV-0000057,2025-01-12,2025-01-12,2025-02-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000058,cust_00003,sub_00003,INV-0000058,2025-02-12,2025-02-12,2025-03-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000059,cust_00003,sub_00003,INV-0000059,2025-03-12,2025-03-12,2025-04-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000060,cust_00003,sub_00003,INV-0000060,2025-04-12,2025-04-12,2025-05-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000061,cust_00003,sub_00003,INV-0000061,2025-05-12,2025-05-12,2025-06-12,3772.00,0.00,3772.00,GBP,0.00
inv_0000062,cust_00004,sub_00004,INV-0000062,2023-01-18,2023-01-18,2023-02-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000063,cust_00004,sub_00004,INV-0000063,2023-02-18,2023-02-18,2023-03-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000064,cust_00004,sub_00004,INV-0000064,2023-03-18,2023-03-18,2023-04-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000065,cust_00004,sub_00004,INV-0000065,2023-04-18,2023-04-18,2023-05-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000066,cust_00004,sub_00004,INV-0000066,2023-05-18,2023-05-18,2023-06-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000067,cust_00004,sub_00004,INV-0000067,2023-06-18,2023-06-18,2023-07-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000068,cust_00004,sub_00004,INV-0000068,2023-07-18,2023-07-18,2023-08-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000069,cust_00004,sub_00004,INV-0000069,2023-08-18,2023-08-18,2023-09-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000070,cust_00004,sub_00004,INV-0000070,2023-09-18,2023-09-18,2023-10-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000071,cust_00004,sub_00004,INV-0000071,2023-10-18,2023-10-18,2023-11-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000072,cust_00004,sub_00004,INV-0000072,2023-11-18,2023-11-18,2023-12-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000073,cust_00004,sub_00004,INV-0000073,2023-12-18,2023-12-18,2024-01-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000074,cust_00004,sub_00004,INV-0000074,2024-01-18,2024-01-18,2024-02-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000075,cust_00004,sub_00004,INV-0000075,2024-02-18,2024-02-18,2024-03-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000076,cust_00004,sub_00004,INV-0000076,2024-03-18,2024-03-18,2024-04-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000077,cust_00004,sub_00004,INV-0000077,2024-04-18,2024-04-18,2024-05-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000078,cust_00004,sub_00004,INV-0000078,2024-05-18,2024-05-18,2024-06-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000079,cust_00004,sub_00004,INV-0000079,2024-06-18,2024-06-18,2024-07-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000080,cust_00004,sub_00004,INV-0000080,2024-07-18,2024-07-18,2024-08-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000081,cust_00004,sub_00004,INV-0000081,2024-08-18,2024-08-18,2024-09-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000082,cust_00004,sub_00004,INV-0000082,2024-09-18,2024-09-18,2024-10-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000083,cust_00004,sub_00004,INV-0000083,2024-10-18,2024-10-18,2024-11-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000084,cust_00004,sub_00004,INV-0000084,2024-11-18,2024-11-18,2024-12-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000085,cust_00004,sub_00004,INV-0000085,2024-12-18,2024-12-18,2025-01-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000086,cust_00004,sub_00004,INV-0000086,2025-01-18,2025-01-18,2025-02-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000087,cust_00004,sub_00004,INV-0000087,2025-02-18,2025-02-18,2025-03-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000088,cust_00004,sub_00004,INV-0000088,2025-03-18,2025-03-18,2025-04-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000089,cust_00004,sub_00004,INV-0000089,2025-04-18,2025-04-18,2025-05-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000090,cust_00004,sub_00004,INV-0000090,2025-05-18,2025-05-18,2025-06-18,3689.20,0.00,3689.20,GBP,0.00
inv_0000091,cust_00005,sub_00005,INV-0000091,2023-01-24,2023-01-24,2024-01-24,15605.50,0.00,15605.50,GBP,0.00
inv_0000092,cust_00005,sub_00005,INV-0000092,2024-01-24,2024-01-24,2025-01-24,15605.50,0.00,15605.50,GBP,0.00
inv_0000093,cust_00005,sub_00005,INV-0000093,2025-01-24,2025-01-24,2026-01-24,15605.50,0.00,15605.50,GBP,0.00
inv_0000094,cust_00006,sub_00006,INV-0000094,2023-01-30,2023-01-30,2023-02-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000095,cust_00006,sub_00006,INV-0000095,2023-02-28,2023-02-28,2023-03-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000096,cust_00006,sub_00006,INV-0000096,2023-03-28,2023-03-28,2023-04-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000097,cust_00006,sub_00006,INV-0000097,2023-04-28,2023-04-28,2023-05-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000098,cust_00006,sub_00006,INV-0000098,2023-05-28,2023-05-28,2023-06-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000099,cust_00006,sub_00006,INV-0000099,2023-06-28,2023-06-28,2023-07-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000100,cust_00006,sub_00006,INV-0000100,2023-07-28,2023-07-28,2023-08-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000101,cust_00006,sub_00006,INV-0000101,2023-08-28,2023-08-28,2023-09-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000102,cust_00006,sub_00006,INV-0000102,2023-09-28,2023-09-28,2023-10-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000103,cust_00006,sub_00006,INV-0000103,2023-10-28,2023-10-28,2023-11-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000104,cust_00006,sub_00006,INV-0000104,2023-11-28,2023-11-28,2023-12-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000105,cust_00006,sub_00006,INV-0000105,2023-12-28,2023-12-28,2024-01-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000106,cust_00006,sub_00006,INV-0000106,2024-01-28,2024-01-28,2024-02-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000107,cust_00006,sub_00006,INV-0000107,2024-02-28,2024-02-28,2024-03-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000108,cust_00006,sub_00006,INV-0000108,2024-03-28,2024-03-28,2024-04-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000109,cust_00006,sub_00006,INV-0000109,2024-04-28,2024-04-28,2024-05-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000110,cust_00006,sub_00006,INV-0000110,2024-05-28,2024-05-28,2024-06-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000111,cust_00006,sub_00006,INV-0000111,2024-06-28,2024-06-28,2024-07-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000112,cust_00006,sub_00006,INV-0000112,2024-07-28,2024-07-28,2024-08-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000113,cust_00006,sub_00006,INV-0000113,2024-08-28,2024-08-28,2024-09-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000114,cust_00006,sub_00006,INV-0000114,2024-09-28,2024-09-28,2024-10-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000115,cust_00006,sub_00006,INV-0000115,2024-10-28,2024-10-28,2024-11-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000116,cust_00006,sub_00006,INV-0000116,2024-11-28,2024-11-28,2024-12-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000117,cust_00006,sub_00006,INV-0000117,2024-12-28,2024-12-28,2025-01-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000118,cust_00006,sub_00006,INV-0000118,2025-01-28,2025-01-28,2025-02-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000119,cust_00006,sub_00006,INV-0000119,2025-02-28,2025-02-28,2025-03-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000120,cust_00006,sub_00006,INV-0000120,2025-03-28,2025-03-28,2025-04-28,2185.00,0.00,2185.00,GBP,0.00
inv_0000121,cust_00006,sub_00006,INV-0000121,2025-04-28,2025-04-28,2025-05-28,2185.00,0.00,2185.00,GBP,0.00
