Subscription ID,Period End,discount,currency,credit_amount,InvoiceNumber,Invoice ID,Customer_Id,subtotal,invoiceDate,Period Start,total
sub_00001,2024-09-01,0.0000,USD,0.0000,INV-0000001,inv_0000001,cust_00001,8449.2025,2024-08-01,2024-08-01,8449.2025
sub_00001,2024-10-01,0.0000,USD,0.0000,INV-0000002,inv_0000002,cust_00001,8449.2025,2024/09/01,2024-09-01,8449.2025
sub_00001,2024-11-01,0.0000,USD,0.0000,INV-0000003,inv_0000003,cust_00001,8449.2025,10/01/2024,2024-10-01,8449.2025
sub_00001,2024-12-01,0.0000,USD,0.0000,INV-0000004,inv_0000004,cust_00001,8449.2025,2024-11-01,2024-11-01,8449.2025
sub_00001,2025-01-01,0.0000,USD,0.0000,INV-0000005,inv_0000005,cust_00001,8449.2025,12/01/2024,2024-12-01,8449.2025
sub_00001,2025-02-01,0.0000,USD,0.0000,INV-0000006,inv_0000006,cust_00001,8449.2025,01/01/2025,2025-01-01,8449.2025
sub_00001,2025-03-01,0.0000,USD,0.0000,INV-0000007,inv_0000007,cust_00001,8449.2025,02/01/2025,2025-02-01,8449.2025
sub_00001,2025-04-01,0.0000,USD,0.0000,INV-0000008,inv_0000008,cust_00001,8449.2025,2025/03/01,2025-03-01,8449.2025
sub_00001,2025-05-01,0.0000,USD,0.0000,INV-0000009,inv_0000009,cust_00001,8449.2025,01/04/2025,2025-04-01,8449.2025
sub_00001,2025-06-01,0.0000,USD,0.0000,INV-0000010,inv_0000010,cust_00001,8449.2025,05/01/2025,2025-05-01,8449.2025
sub_00001,2025-07-01,0.0000,USD,0.0000,INV-0000011,inv_0000011,cust_00001,8449.2025,2025-06-01,2025-06-01,8449.2025
sub_00001,2025-08-01,0.0000,USD,0.0000,INV-0000012,inv_0000012,cust_00001,8449.2025,2025/07/01,2025-07-01,8449.2025
sub_00001,2025-09-01,0.0000,USD,0.0000,INV-0000013,inv_0000013,cust_00001,8449.2025,01/08/2025,2025-08-01,8449.2025
sub_00001,2025-10-01,0.0000,USD,0.0000,INV-0000014,inv_0000014,cust_00001,8449.2025,2025-09-01,2025-09-01,8449.2025
sub_00001,2025-11-01,0.0000,USD,0.0000,INV-0000015,inv_0000015,cust_00001,8449.2025,01/10/2025,2025-10-01,8449.2025
sub_00001,2025-12-01,0.0000,USD,0.0000,INV-0000016,inv_0000016,cust_00001,8449.2025,2025-11-01,2025-11-01,8449.2025
