customer_id,name,crm_id
cust_0001,AcmeCRM Customer 0001 (Media),crm_acc_0001
cust_0002,AcmeCRM Customer 0002 (SaaS),crm_acc_0002
cust_0003,AcmeCRM Customer 0003 (SaaS),crm_acc_0003
cust_0004,AcmeCRM Customer 0004 (Media),crm_acc_0004
cust_0005,AcmeCRM Customer 0005 (Healthcare),crm_acc_0005
cust_0006,AcmeCRM Customer 0006 (Fintech),crm_acc_0006
cust_0007,AcmeCRM Customer 0007 (Fintech),crm_acc_0007
cust_0008,AcmeCRM Customer 0008 (Fintech),crm_acc_0008
cust_0009,AcmeCRM Customer 0009 (Media),crm_acc_0009
cust_0010,AcmeCRM Customer 0010 (SaaS),crm_acc_0010
cust_0011,AcmeCRM Customer 0011 (Media),crm_acc_0011
cust_0012,AcmeCRM Customer 0012 (Media),crm_acc_0012
cust_0013,AcmeCRM Customer 0013 (Manufacturing),crm_acc_0013
cust_0014,AcmeCRM Customer 0014 (SaaS),crm_acc_0014
cust_0015,AcmeCRM Customer 0015 (Manufacturing),crm_acc_0015
cust_0016,AcmeCRM Customer 0016 (Retail),crm_acc_0016
cust_0017,AcmeCRM Customer 0017 (SaaS),crm_acc_0017
cust_0018,AcmeCRM Customer 0018 (SaaS),crm_acc_0018
cust_0019,AcmeCRM Customer 0019 (SaaS),crm_acc_0019
cust_0020,AcmeCRM Customer 0020 (Fintech),crm_acc_0020
cust_0021,AcmeCRM Customer 0021 (Fintech),crm_acc_0021
cust_0022,AcmeCRM Customer 0022 (Manufacturing),crm_acc_0022
cust_0023,AcmeCRM Customer 0023 (Manufacturing),crm_acc_0023
cust_0024,AcmeCRM Customer 0024 (SaaS),crm_acc_0024
cust_0025,AcmeCRM Customer 0025 (Manufacturing),crm_acc_0025
cust_0026,AcmeCRM Customer 0026 (Fintech),crm_acc_0026
cust_0027,AcmeCRM Customer 0027 (Media),crm_acc_0027
cust_0028,AcmeCRM Customer 0028 (Media),crm_acc_0028
cust_0029,AcmeCRM Customer 0029 (Media),crm_acc_0029
