product_id,sku,version,effective_date,list_price,currency,billing_interval
prod_starter_mo,SKU-STAR-MO,v1,2023-01-01,64.00,EUR,monthly
prod_starter_mo,SKU-STAR-MO,v2,2024-07-01,73.60,EUR,monthly
prod_starter_yr,SKU-STAR-YR,v1,2023-01-01,640.00,EUR,annual
prod_starter_yr,SKU-STAR-YR,v2,2024-07-01,736.00,EUR,annual
prod_growth_mo,SKU-GROW-MO,v1,2023-01-01,99.00,EUR,monthly
prod_growth_mo,SKU-GROW-MO,v2,2024-07-01,113.85,EUR,monthly
prod_growth_yr,SKU-GROW-YR,v1,2023-01-01,990.00,EUR,annual
prod_growth_yr,SKU-GROW-YR,v2,2024-07-01,1138.50,EUR,annual
prod_professional_mo,SKU-PROF-MO,v1,2023-01-01,214.00,EUR,monthly
prod_professional_mo,SKU-PROF-MO,v2,2024-07-01,246.10,EUR,monthly
prod_professional_yr,SKU-PROF-YR,v1,2023-01-01,2140.00,EUR,annual
prod_professional_yr,SKU-PROF-YR,v2,2024-07-01,2461.00,EUR,annual
prod_business_mo,SKU-BUSI-MO,v1,2023-01-01,404.00,EUR,monthly
prod_business_mo,SKU-BUSI-MO,v2,2024-07-01,464.60,EUR,monthly
prod_business_yr,SKU-BUSI-YR,v1,2023-01-01,4040.00,EUR,annual
prod_business_yr,SKU-BUSI-YR,v2,2024-07-01,4646.00,EUR,annual
addon_prod_professional_mo,addon_prod_professional_mo,v2,2024-07-01,246.10,EUR,monthly
addon_prod_business_mo,addon_prod_business_mo,v1,2023-01-01,464.60,EUR,monthly
